name	bin_id	collection_id	profile_db_path	contigs_db_path
year_2021_Bin_11_MAG_00001	year_2021_Bin_11_MAG_00001	ALL_FINAL_MAGs	/home/ngp704/data/caribou/anvio_dirs/runs/ALL_FINAL_MAGs_MERGED/PROFILE.db	/home/ngp704/data/caribou/anvio_dirs/runs/FINAL_MAGs/ALL_FINAL_MAGs-CONTIGS.db
year_2021_Bin_20_MAG_00003	year_2021_Bin_20_MAG_00003	ALL_FINAL_MAGs	/home/ngp704/data/caribou/anvio_dirs/runs/ALL_FINAL_MAGs_MERGED/PROFILE.db	/home/ngp704/data/caribou/anvio_dirs/runs/FINAL_MAGs/ALL_FINAL_MAGs-CONTIGS.db
year_2021_Bin_12_MAG_00003	year_2021_Bin_12_MAG_00003	ALL_FINAL_MAGs	/home/ngp704/data/caribou/anvio_dirs/runs/ALL_FINAL_MAGs_MERGED/PROFILE.db	/home/ngp704/data/caribou/anvio_dirs/runs/FINAL_MAGs/ALL_FINAL_MAGs-CONTIGS.db
year_2021_Bin_20_MAG_00001	year_2021_Bin_20_MAG_00001	ALL_FINAL_MAGs	/home/ngp704/data/caribou/anvio_dirs/runs/ALL_FINAL_MAGs_MERGED/PROFILE.db	/home/ngp704/data/caribou/anvio_dirs/runs/FINAL_MAGs/ALL_FINAL_MAGs-CONTIGS.db
year_2021_Bin_24_MAG_00001	year_2021_Bin_24_MAG_00001	ALL_FINAL_MAGs	/home/ngp704/data/caribou/anvio_dirs/runs/ALL_FINAL_MAGs_MERGED/PROFILE.db	/home/ngp704/data/caribou/anvio_dirs/runs/FINAL_MAGs/ALL_FINAL_MAGs-CONTIGS.db
year_2021_Bin_33_MAG_00001	year_2021_Bin_33_MAG_00001	ALL_FINAL_MAGs	/home/ngp704/data/caribou/anvio_dirs/runs/ALL_FINAL_MAGs_MERGED/PROFILE.db	/home/ngp704/data/caribou/anvio_dirs/runs/FINAL_MAGs/ALL_FINAL_MAGs-CONTIGS.db
year_2021_Bin_47_MAG_00002	year_2021_Bin_47_MAG_00002	ALL_FINAL_MAGs	/home/ngp704/data/caribou/anvio_dirs/runs/ALL_FINAL_MAGs_MERGED/PROFILE.db	/home/ngp704/data/caribou/anvio_dirs/runs/FINAL_MAGs/ALL_FINAL_MAGs-CONTIGS.db
year_2021_Bin_48_MAG_00001	year_2021_Bin_48_MAG_00001	ALL_FINAL_MAGs	/home/ngp704/data/caribou/anvio_dirs/runs/ALL_FINAL_MAGs_MERGED/PROFILE.db	/home/ngp704/data/caribou/anvio_dirs/runs/FINAL_MAGs/ALL_FINAL_MAGs-CONTIGS.db
year_1978_Bin_0_MAG_00001	year_1978_Bin_0_MAG_00001	ALL_FINAL_MAGs	/home/ngp704/data/caribou/anvio_dirs/runs/ALL_FINAL_MAGs_MERGED/PROFILE.db	/home/ngp704/data/caribou/anvio_dirs/runs/FINAL_MAGs/ALL_FINAL_MAGs-CONTIGS.db
year_1978_Bin_10_MAG_00001	year_1978_Bin_10_MAG_00001	ALL_FINAL_MAGs	/home/ngp704/data/caribou/anvio_dirs/runs/ALL_FINAL_MAGs_MERGED/PROFILE.db	/home/ngp704/data/caribou/anvio_dirs/runs/FINAL_MAGs/ALL_FINAL_MAGs-CONTIGS.db
year_1978_Bin_10_MAG_00002	year_1978_Bin_10_MAG_00002	ALL_FINAL_MAGs	/home/ngp704/data/caribou/anvio_dirs/runs/ALL_FINAL_MAGs_MERGED/PROFILE.db	/home/ngp704/data/caribou/anvio_dirs/runs/FINAL_MAGs/ALL_FINAL_MAGs-CONTIGS.db
year_1978_Bin_11_MAG_00001	year_1978_Bin_11_MAG_00001	ALL_FINAL_MAGs	/home/ngp704/data/caribou/anvio_dirs/runs/ALL_FINAL_MAGs_MERGED/PROFILE.db	/home/ngp704/data/caribou/anvio_dirs/runs/FINAL_MAGs/ALL_FINAL_MAGs-CONTIGS.db
year_1978_Bin_11_MAG_00002	year_1978_Bin_11_MAG_00002	ALL_FINAL_MAGs	/home/ngp704/data/caribou/anvio_dirs/runs/ALL_FINAL_MAGs_MERGED/PROFILE.db	/home/ngp704/data/caribou/anvio_dirs/runs/FINAL_MAGs/ALL_FINAL_MAGs-CONTIGS.db
year_1978_Bin_12_MAG_00001	year_1978_Bin_12_MAG_00001	ALL_FINAL_MAGs	/home/ngp704/data/caribou/anvio_dirs/runs/ALL_FINAL_MAGs_MERGED/PROFILE.db	/home/ngp704/data/caribou/anvio_dirs/runs/FINAL_MAGs/ALL_FINAL_MAGs-CONTIGS.db
year_1978_Bin_13_MAG_00001	year_1978_Bin_13_MAG_00001	ALL_FINAL_MAGs	/home/ngp704/data/caribou/anvio_dirs/runs/ALL_FINAL_MAGs_MERGED/PROFILE.db	/home/ngp704/data/caribou/anvio_dirs/runs/FINAL_MAGs/ALL_FINAL_MAGs-CONTIGS.db
year_1978_Bin_13_MAG_00002	year_1978_Bin_13_MAG_00002	ALL_FINAL_MAGs	/home/ngp704/data/caribou/anvio_dirs/runs/ALL_FINAL_MAGs_MERGED/PROFILE.db	/home/ngp704/data/caribou/anvio_dirs/runs/FINAL_MAGs/ALL_FINAL_MAGs-CONTIGS.db
year_1978_Bin_13_MAG_00003	year_1978_Bin_13_MAG_00003	ALL_FINAL_MAGs	/home/ngp704/data/caribou/anvio_dirs/runs/ALL_FINAL_MAGs_MERGED/PROFILE.db	/home/ngp704/data/caribou/anvio_dirs/runs/FINAL_MAGs/ALL_FINAL_MAGs-CONTIGS.db
year_1978_Bin_13_MAG_00004	year_1978_Bin_13_MAG_00004	ALL_FINAL_MAGs	/home/ngp704/data/caribou/anvio_dirs/runs/ALL_FINAL_MAGs_MERGED/PROFILE.db	/home/ngp704/data/caribou/anvio_dirs/runs/FINAL_MAGs/ALL_FINAL_MAGs-CONTIGS.db
year_1978_Bin_13_MAG_00005	year_1978_Bin_13_MAG_00005	ALL_FINAL_MAGs	/home/ngp704/data/caribou/anvio_dirs/runs/ALL_FINAL_MAGs_MERGED/PROFILE.db	/home/ngp704/data/caribou/anvio_dirs/runs/FINAL_MAGs/ALL_FINAL_MAGs-CONTIGS.db
year_1978_Bin_14_MAG_00001	year_1978_Bin_14_MAG_00001	ALL_FINAL_MAGs	/home/ngp704/data/caribou/anvio_dirs/runs/ALL_FINAL_MAGs_MERGED/PROFILE.db	/home/ngp704/data/caribou/anvio_dirs/runs/FINAL_MAGs/ALL_FINAL_MAGs-CONTIGS.db
year_1978_Bin_15_MAG_00001	year_1978_Bin_15_MAG_00001	ALL_FINAL_MAGs	/home/ngp704/data/caribou/anvio_dirs/runs/ALL_FINAL_MAGs_MERGED/PROFILE.db	/home/ngp704/data/caribou/anvio_dirs/runs/FINAL_MAGs/ALL_FINAL_MAGs-CONTIGS.db
year_1978_Bin_15_MAG_00002	year_1978_Bin_15_MAG_00002	ALL_FINAL_MAGs	/home/ngp704/data/caribou/anvio_dirs/runs/ALL_FINAL_MAGs_MERGED/PROFILE.db	/home/ngp704/data/caribou/anvio_dirs/runs/FINAL_MAGs/ALL_FINAL_MAGs-CONTIGS.db
year_1978_Bin_15_MAG_00003	year_1978_Bin_15_MAG_00003	ALL_FINAL_MAGs	/home/ngp704/data/caribou/anvio_dirs/runs/ALL_FINAL_MAGs_MERGED/PROFILE.db	/home/ngp704/data/caribou/anvio_dirs/runs/FINAL_MAGs/ALL_FINAL_MAGs-CONTIGS.db
year_1978_Bin_15_MAG_00004	year_1978_Bin_15_MAG_00004	ALL_FINAL_MAGs	/home/ngp704/data/caribou/anvio_dirs/runs/ALL_FINAL_MAGs_MERGED/PROFILE.db	/home/ngp704/data/caribou/anvio_dirs/runs/FINAL_MAGs/ALL_FINAL_MAGs-CONTIGS.db
year_1978_Bin_15_MAG_00005	year_1978_Bin_15_MAG_00005	ALL_FINAL_MAGs	/home/ngp704/data/caribou/anvio_dirs/runs/ALL_FINAL_MAGs_MERGED/PROFILE.db	/home/ngp704/data/caribou/anvio_dirs/runs/FINAL_MAGs/ALL_FINAL_MAGs-CONTIGS.db
year_1978_Bin_15_MAG_00006	year_1978_Bin_15_MAG_00006	ALL_FINAL_MAGs	/home/ngp704/data/caribou/anvio_dirs/runs/ALL_FINAL_MAGs_MERGED/PROFILE.db	/home/ngp704/data/caribou/anvio_dirs/runs/FINAL_MAGs/ALL_FINAL_MAGs-CONTIGS.db
year_1978_Bin_15_MAG_00007	year_1978_Bin_15_MAG_00007	ALL_FINAL_MAGs	/home/ngp704/data/caribou/anvio_dirs/runs/ALL_FINAL_MAGs_MERGED/PROFILE.db	/home/ngp704/data/caribou/anvio_dirs/runs/FINAL_MAGs/ALL_FINAL_MAGs-CONTIGS.db
year_1978_Bin_17_MAG_00001	year_1978_Bin_17_MAG_00001	ALL_FINAL_MAGs	/home/ngp704/data/caribou/anvio_dirs/runs/ALL_FINAL_MAGs_MERGED/PROFILE.db	/home/ngp704/data/caribou/anvio_dirs/runs/FINAL_MAGs/ALL_FINAL_MAGs-CONTIGS.db
year_1978_Bin_19_MAG_00001	year_1978_Bin_19_MAG_00001	ALL_FINAL_MAGs	/home/ngp704/data/caribou/anvio_dirs/runs/ALL_FINAL_MAGs_MERGED/PROFILE.db	/home/ngp704/data/caribou/anvio_dirs/runs/FINAL_MAGs/ALL_FINAL_MAGs-CONTIGS.db
year_1978_Bin_19_MAG_00002	year_1978_Bin_19_MAG_00002	ALL_FINAL_MAGs	/home/ngp704/data/caribou/anvio_dirs/runs/ALL_FINAL_MAGs_MERGED/PROFILE.db	/home/ngp704/data/caribou/anvio_dirs/runs/FINAL_MAGs/ALL_FINAL_MAGs-CONTIGS.db
